Date,Time,Open,High,Low,Close,Volume
2015-02-02,09:15:00,568.8,569.85,550.55,552.6,63408
2015-02-02,10:15:00,552.6,554.15,550.4,552.45,37419
2015-02-02,11:15:00,552.45,553.0,550.05,550.9,27830
2015-02-02,12:15:00,550.9,552.2,545.1,546.6,44333
2015-02-02,13:15:00,546.6,549.85,545.5,547.8,30683
2015-02-02,14:15:00,547.7,549.5,545.4,546.95,61445
2015-02-02,15:15:00,546.75,547.0,540.15,542.7,49220
2015-02-03,09:15:00,546.95,546.95,538.9,541.15,40353
2015-02-03,10:15:00,540.1,543.85,540.0,542.7,32609
2015-02-03,11:15:00,542.65,546.3,537.3,538.8,29571
2015-02-03,12:15:00,538.8,539.95,536.0,536.75,14928
2015-02-03,13:15:00,536.8,542.4,536.5,538.05,27840
2015-02-03,14:15:00,538.0,542.5,537.0,541.3,123168
2015-02-03,15:15:00,541.3,542.35,537.45,540.0,79749
2015-02-04,09:15:00,540.9,553.55,538.55,542.65,58800
2015-02-04,10:15:00,542.65,543.5,541.9,543.25,12805
2015-02-04,11:15:00,543.25,543.25,540.9,542.0,16837
2015-02-04,12:15:00,541.8,542.0,538.3,539.9,24827
2015-02-04,13:15:00,539.9,539.9,536.15,536.95,29269
2015-02-04,14:15:00,536.6,542.0,534.4,539.7,51441
2015-02-04,15:15:00,539.1,541.9,538.0,538.1,14372
2015-02-05,09:15:00,538.45,548.85,537.0,545.95,32342
2015-02-05,10:15:00,545.95,550.0,542.3,548.7,23802
2015-02-05,11:15:00,548.7,548.7,546.4,548.4,12817
2015-02-05,12:15:00,548.4,554.5,548.05,550.85,27283
2015-02-05,13:15:00,550.85,551.5,548.2,549.95,16642
2015-02-05,14:15:00,549.95,550.0,538.9,539.65,40751
2015-02-05,15:15:00,539.45,539.65,528.0,530.0,18795
2015-02-06,09:15:00,533.8,544.0,533.45,533.75,49743
2015-02-06,10:15:00,533.7,537.5,532.5,535.25,32635
2015-02-06,11:15:00,535.25,539.9,535.25,538.0,18687
2015-02-06,12:15:00,538.0,543.45,534.1,543.1,31436
2015-02-06,13:15:00,543.1,544.5,540.8,542.95,30477
2015-02-06,14:15:00,543.0,543.0,530.7,535.6,47695
2015-02-06,15:15:00,536.8,537.3,532.15,535.05,12924
2015-02-09,09:15:00,535.0,544.2,529.35,539.05,45677
2015-02-09,10:15:00,539.05,540.0,536.0,538.9,11719
2015-02-09,11:15:00,538.8,539.85,537.0,539.5,9869
2015-02-09,12:15:00,539.5,539.5,538.3,539.5,7742
2015-02-09,13:15:00,539.5,539.5,537.35,537.85,8320
2015-02-09,14:15:00,538.25,543.85,537.7,543.7,33891
2015-02-09,15:15:00,543.7,544.75,539.2,544.0,19926
2015-02-10,09:15:00,542.8,555.8,539.65,554.45,84818
2015-02-10,10:15:00,554.45,555.9,547.05,547.85,61533
2015-02-10,11:15:00,548.1,551.45,547.6,549.3,117764
2015-02-10,12:15:00,549.3,550.0,545.8,547.6,34623
2015-02-10,13:15:00,547.6,548.6,538.5,539.7,46919
2015-02-10,14:15:00,538.95,556.0,538.05,553.15,63284
2015-02-10,15:15:00,553.6,553.6,546.15,547.0,19741
2015-02-11,09:15:00,555.0,571.2,555.0,566.6,174224
2015-02-11,10:15:00,564.95,565.75,561.2,564.45,42019
2015-02-11,11:15:00,564.3,565.8,562.0,565.0,18050
2015-02-11,12:15:00,565.0,565.5,564.0,565.0,12006
2015-02-11,13:15:00,565.0,567.7,564.0,565.5,17904
2015-02-11,14:15:00,565.5,567.15,564.45,566.45,28428
2015-02-11,15:15:00,566.45,575.5,565.8,575.5,47679
2015-02-12,09:15:00,574.85,578.25,570.0,573.85,41254
2015-02-12,10:15:00,573.5,579.0,570.3,578.0,28343
2015-02-12,11:15:00,578.05,578.05,574.5,576.4,99664
2015-02-12,12:15:00,576.5,579.0,575.2,577.85,11132
2015-02-12,13:15:00,577.6,584.4,576.6,581.2,70633
2015-02-12,14:15:00,581.3,585.0,577.65,577.65,45833
2015-02-12,15:15:00,577.75,578.0,575.1,577.0,24542
2015-02-13,09:15:00,580.0,580.0,570.25,571.45,29641
2015-02-13,10:15:00,571.45,575.0,571.15,573.0,15212
2015-02-13,11:15:00,573.0,575.0,573.0,574.95,13077
2015-02-13,12:15:00,574.95,575.0,572.0,573.75,24481
2015-02-13,13:15:00,573.75,574.8,573.0,574.75,16509
2015-02-13,14:15:00,574.75,577.85,573.2,573.85,31630
2015-02-13,15:15:00,573.85,575.0,571.65,574.85,21584
2015-02-16,09:15:00,580.85,584.0,575.2,582.0,34046
2015-02-16,10:15:00,582.0,584.9,580.6,583.45,23845
2015-02-16,11:15:00,583.45,583.5,578.25,580.4,15354
2015-02-16,12:15:00,580.4,582.95,580.1,582.5,9022
2015-02-16,13:15:00,582.5,582.5,579.95,581.5,12599
2015-02-16,14:15:00,581.45,581.7,578.1,579.35,24886
2015-02-16,15:15:00,579.35,581.45,575.55,581.45,18846
2015-02-18,09:15:00,576.05,583.0,575.6,577.2,27287
2015-02-18,10:15:00,577.45,579.0,574.1,578.65,18718
2015-02-18,11:15:00,578.9,584.0,577.95,581.0,24754
2015-02-18,12:15:00,581.0,585.9,580.15,582.15,32263
2015-02-18,13:15:00,582.15,591.45,580.0,580.0,113053
2015-02-18,14:15:00,580.5,583.0,579.75,580.1,16237
2015-02-18,15:15:00,580.0,581.0,579.0,579.15,12071
2015-02-19,09:15:00,582.95,583.8,577.15,582.3,12593
2015-02-19,10:15:00,582.3,589.7,582.0,583.5,41253
2015-02-19,11:15:00,583.5,584.5,582.0,583.25,9588
2015-02-19,12:15:00,583.25,584.35,582.0,582.1,5827
2015-02-19,13:15:00,582.1,582.5,578.2,580.0,8181
2015-02-19,14:15:00,580.0,583.45,579.0,582.65,10127
2015-02-19,15:15:00,582.65,583.0,580.25,580.6,9001
2015-02-20,09:15:00,580.5,582.5,573.85,575.3,36298
2015-02-20,10:15:00,575.55,576.95,572.95,574.9,14485
2015-02-20,11:15:00,574.9,575.95,572.2,574.95,8571
2015-02-20,12:15:00,574.95,575.0,572.95,573.0,17452
2015-02-20,13:15:00,573.0,574.2,570.95,572.05,10741
2015-02-20,14:15:00,572.1,573.95,571.55,571.6,12796
2015-02-20,15:15:00,571.6,572.0,568.0,569.95,21042
2015-02-23,09:15:00,573.65,575.0,568.85,573.0,22360
2015-02-23,10:15:00,573.0,574.0,572.0,573.0,14329
2015-02-23,11:15:00,573.05,574.95,572.0,574.0,10424
2015-02-23,12:15:00,574.0,575.0,572.5,574.45,9833
2015-02-23,13:15:00,574.2,574.5,571.45,571.45,11023
2015-02-23,14:15:00,571.4,572.5,568.5,570.0,30565
2015-02-23,15:15:00,569.85,569.95,560.55,563.45,11969
2015-02-24,09:15:00,564.5,569.0,562.2,566.55,31744
2015-02-24,10:15:00,566.55,567.4,563.0,564.7,36942
2015-02-24,11:15:00,564.7,565.35,559.45,562.8,23077
2015-02-24,12:15:00,562.8,565.5,556.75,559.55,41259
2015-02-24,13:15:00,559.55,564.0,558.95,563.0,74360
2015-02-24,14:15:00,563.0,565.0,559.0,565.0,32380
2015-02-24,15:15:00,564.9,567.9,564.45,565.1,9549
2015-02-25,09:15:00,565.0,570.0,562.05,564.05,7898
2015-02-25,10:15:00,564.05,564.9,556.75,559.3,39722
2015-02-25,11:15:00,559.1,559.95,553.0,554.45,25868
2015-02-25,12:15:00,553.75,555.4,552.0,552.35,28014
2015-02-25,13:15:00,551.8,555.15,551.8,554.05,13490
2015-02-25,14:15:00,554.05,555.2,551.7,553.55,15292
2015-02-25,15:15:00,553.55,554.8,551.05,553.0,9604
2015-02-26,09:15:00,553.55,555.95,542.2,544.35,25603
2015-02-26,10:15:00,544.25,545.2,543.05,544.0,10344
2015-02-26,11:15:00,544.0,544.8,540.25,543.15,15323
2015-02-26,12:15:00,543.15,544.25,541.55,543.1,7597
2015-02-26,13:15:00,543.1,544.15,537.05,541.6,20485
2015-02-26,14:15:00,541.6,543.0,540.1,540.4,17052
2015-02-26,15:15:00,540.4,542.9,540.0,542.05,17689
2015-02-27,09:15:00,542.0,553.0,542.0,552.0,18692
2015-02-27,10:15:00,552.0,552.0,548.0,552.0,9202
2015-02-27,11:15:00,551.7,555.2,550.0,552.1,23595
2015-02-27,12:15:00,552.1,552.85,549.5,550.5,9345
2015-02-27,13:15:00,553.0,555.0,552.0,553.7,16657
2015-02-27,14:15:00,553.5,556.0,553.0,555.0,19294
2015-02-27,15:15:00,554.9,556.95,552.0,556.95,7610
2015-02-28,09:15:00,558.4,568.9,557.1,568.0,38049
2015-02-28,10:15:00,567.5,580.0,567.0,574.8,91876
2015-02-28,11:15:00,574.75,574.9,559.5,565.0,69505
2015-02-28,12:15:00,565.0,565.5,561.1,564.7,13173
2015-02-28,13:15:00,564.7,565.8,558.0,560.0,16945
2015-02-28,14:15:00,560.0,565.5,559.2,562.95,22072
2015-02-28,15:15:00,562.45,563.9,560.1,562.0,7914
2015-03-02,09:15:00,564.0,582.0,564.0,576.2,54002
2015-03-02,10:15:00,576.0,577.5,573.1,575.4,18115
2015-03-02,11:15:00,575.4,582.0,571.95,581.95,102678
2015-03-02,12:15:00,581.7,581.95,577.05,578.05,29350
2015-03-02,13:15:00,579.25,581.45,574.0,577.1,37934
2015-03-02,14:15:00,578.9,584.65,576.35,582.2,91973
2015-03-02,15:15:00,582.35,584.3,580.05,584.3,37560
2015-03-03,09:15:00,582.85,593.95,582.7,590.0,59362
2015-03-03,10:15:00,590.0,600.0,589.8,594.5,108020
2015-03-03,11:15:00,594.5,598.6,592.75,597.3,60026
2015-03-03,12:15:00,597.3,598.05,596.55,596.95,34973
2015-03-03,13:15:00,597.0,598.8,594.35,597.55,45584
2015-03-03,14:15:00,597.6,600.0,597.05,599.3,63291
2015-03-03,15:15:00,599.7,601.7,598.6,599.0,56715
2015-03-04,09:15:00,613.0,613.0,592.15,594.3,91853
2015-03-04,10:15:00,594.0,600.0,592.2,599.9,63468
2015-03-04,11:15:00,600.15,600.7,597.7,598.9,49432
2015-03-04,12:15:00,598.8,599.45,595.1,597.35,58244
2015-03-04,13:15:00,597.05,601.45,596.95,598.25,70256
2015-03-04,14:15:00,598.55,598.7,585.9,593.75,81789
2015-03-04,15:15:00,593.2,593.5,588.15,592.95,34977
2015-03-05,09:15:00,602.85,624.0,598.05,620.2,405179
2015-03-05,10:15:00,620.15,626.5,619.0,622.95,176760
2015-03-05,11:15:00,622.95,626.45,614.0,615.05,132137
2015-03-05,12:15:00,615.05,616.1,603.5,605.0,143695
2015-03-05,13:15:00,605.0,605.0,602.5,603.85,117097
2015-03-05,14:15:00,603.95,605.05,602.0,604.8,149419
2015-03-05,15:15:00,604.8,605.1,603.0,605.0,55679
2015-03-09,09:15:00,604.9,608.35,592.35,592.35,59784
2015-03-09,10:15:00,592.4,598.2,590.75,592.8,27704
2015-03-09,11:15:00,592.65,593.45,591.7,592.7,16315
2015-03-09,12:15:00,592.55,594.85,590.3,590.7,25839
2015-03-09,13:15:00,592.35,592.45,588.0,588.05,27417
2015-03-09,14:15:00,588.3,589.7,587.25,588.0,36880
2015-03-09,15:15:00,588.0,591.0,584.1,590.0,23586
2015-03-10,09:15:00,589.95,592.05,575.75,575.75,57975
2015-03-10,10:15:00,577.0,581.7,576.85,579.1,82155
2015-03-10,11:15:00,579.15,580.0,577.55,577.6,19722
2015-03-10,12:15:00,577.7,581.35,577.1,579.95,14587
2015-03-10,13:15:00,579.1,580.9,574.35,574.35,42633
2015-03-10,14:15:00,574.1,579.0,571.1,576.95,74340
2015-03-10,15:15:00,576.55,578.85,573.2,576.35,41454
2015-03-11,09:15:00,577.9,583.25,577.1,582.95,24219
2015-03-11,10:15:00,583.25,583.25,577.4,578.0,20074
2015-03-11,11:15:00,578.4,584.7,576.15,582.25,20930
